"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.492963600E-2,2.612266243E-1,5.197525024E-4,7.035120726E-1,7.504457713E-1
1.118673710E-1,2.076880634E-1,7.736015320E-2,6.750864983E-1,7.105355059E-1
1.288050430E-1,1.659722328E-1,2.757215500E-1,5.855922699E-1,6.681971728E-1
1.457228920E-1,1.970994771E-1,3.419532776E-1,5.262254477E-1,6.577943977E-1
1.626796580E-1,9.349766374E-2,2.635145187E-1,2.997781038E-1,4.099373443E-1
1.796197420E-1,1.409011185E-1,4.382038116E-2,1.351118088E-3,1.475641438E-1
1.965569580E-1,1.400974691E-1,1.998233795E-2,-1.696394682E-1,2.209165993E-1
2.134946210E-1,-1.102319360E-1,5.504703522E-2,-3.320727348E-1,3.541942363E-1
2.304325080E-1,-3.799241483E-1,1.483993530E-1,-2.764588594E-1,4.927415422E-1
2.473699990E-1,-1.484074593E-1,4.732131958E-2,-3.576830626E-1,3.901297918E-1
2.642933700E-1,2.754161656E-1,4.134464264E-2,-4.547858238E-1,5.332856545E-1
2.812458130E-1,3.967416286E-1,4.569053650E-2,-4.355821609E-1,5.909512365E-1
2.982044820E-1,-1.938611269E-2,-3.835868835E-2,-1.400393248E-1,1.464862547E-1
3.151018530E-1,-7.663702965E-2,7.664871216E-2,-3.926813602E-2,1.152833288E-1
3.320388750E-1,8.037945628E-2,2.042198181E-2,3.821023703E-1,3.909988947E-1
3.489804740E-1,3.269329965E-1,7.635879517E-2,6.745420694E-1,7.534738570E-1
3.659240380E-1,5.326240063E-1,-4.137992859E-2,6.758699417E-1,8.615107711E-1
3.828583950E-1,6.096051931E-1,1.362485886E-1,5.359054804E-1,8.230290720E-1
3.997982760E-1,3.382118344E-1,2.377538681E-1,3.462558985E-1,5.392655134E-1
4.167439250E-1,-1.736611724E-1,8.858680725E-3,9.478743076E-1,9.636920577E-1
4.336954020E-1,-4.796836972E-1,-4.314517975E-2,9.413913488E-1,1.057438238E0
4.506202380E-1,-3.481067717E-2,4.561996460E-2,2.621678114E-1,2.683745997E-1
4.675663650E-1,1.446518302E-1,-3.572845459E-2,2.259496450E-1,2.706546075E-1
4.845002030E-1,8.718954027E-2,1.036052704E-1,8.396458626E-2,1.593302223E-1
5.014347120E-1,-1.119519025E-1,2.939128876E-2,-1.611523628E-1,1.984115933E-1
5.183788040E-1,-1.013927236E-1,-1.385021210E-2,-1.844940186E-1,2.109747749E-1
5.353141690E-1,1.413366646E-1,-3.361320496E-2,1.344889402E-1,1.979726631E-1
5.522510580E-1,1.833576262E-1,-1.754150391E-1,3.421789408E-1,4.260010358E-1
5.691890880E-1,5.354706943E-2,-1.573114395E-1,1.736196876E-1,2.403288862E-1
5.861269350E-1,5.560147762E-2,-3.740215302E-2,-2.733933926E-2,7.237323286E-2
6.030656050E-1,-3.484925628E-2,8.708763123E-2,-3.089487553E-3,9.385239000E-2
6.200126370E-1,-3.623025715E-1,3.903512955E-1,8.674699068E-2,5.395945956E-1
6.369410030E-1,-3.356524706E-1,4.889907837E-1,-5.246788263E-2,5.954220740E-1
6.538629090E-1,-2.748463303E-2,6.522397995E-1,-1.135072112E-1,6.626130455E-1
6.708166540E-1,2.755740285E-1,4.757785797E-1,-1.418626308E-2,5.500068656E-1
6.877538910E-1,2.970071435E-1,5.645771027E-1,1.905760765E-1,6.657926021E-1
7.046921230E-1,1.482306570E-1,7.442541122E-1,7.427817583E-2,7.624983663E-1
7.216140600E-1,8.970889449E-2,6.461896896E-1,-2.868890762E-3,6.523933103E-1
7.385599110E-1,4.955968261E-2,4.286136627E-1,-7.352054119E-3,4.315320228E-1
7.555100460E-1,-2.166322172E-1,-1.875972748E-2,2.280772924E-1,3.151201298E-1
7.724432840E-1,-2.026501298E-1,2.271518707E-1,5.680108666E-1,6.444388195E-1
7.893772040E-1,5.373895168E-3,-1.111373901E-1,4.869085550E-1,4.994600476E-1
8.062991410E-1,2.915922403E-1,-5.277624130E-1,2.197006047E-1,6.417379176E-1
8.232463960E-1,4.855773449E-1,-7.678213120E-1,-2.364233434E-1,9.387390065E-1
8.401812320E-1,2.007728815E-2,-4.520931244E-1,-5.188324451E-1,6.884608898E-1
8.571189870E-1,-1.863571703E-1,-3.172435760E-1,-5.251030326E-1,6.411752306E-1
8.740571480E-1,-1.796791255E-1,-1.716079712E-1,-5.385724306E-1,5.931223710E-1
8.909946170E-1,-6.866419315E-2,-3.542871475E-1,-3.386340737E-1,4.948809859E-1
9.079783620E-1,-1.749306917E-2,-2.306985855E-1,-8.529722691E-4,2.313624265E-1
9.248865260E-1,1.440611482E-1,-2.951469421E-1,9.241697192E-2,3.411835702E-1
9.418406780E-1,2.473104000E-2,-1.525201797E-1,1.306831539E-1,2.023662923E-1
9.587594100E-1,-1.272733808E-1,1.771450043E-1,3.359359503E-1,4.005394221E-1
9.756978680E-1,-5.817797780E-2,4.592609406E-1,3.139217794E-1,5.593318981E-1
9.926359270E-1,-2.647193372E-1,8.280162811E-1,1.724157929E-1,8.862361395E-1
1.009585288E0,-2.505891919E-1,1.097007751E0,4.262715578E-1,1.203298962E0
1.026478213E0,-3.233212233E-2,1.197534561E0,4.159368277E-1,1.268123746E0
1.043428093E0,-1.866438985E-1,1.918591976E0,1.488857269E-1,1.933390306E0
1.060376396E0,-5.620676279E-1,2.506261826E0,1.012203455E0,2.760765146E0
1.077321527E0,-1.061043620E0,2.727044106E0,9.974557161E-1,3.091520827E0
1.094245955E0,-1.309979677E0,2.206906796E0,1.164439440E0,2.818227026E0
1.111176294E0,-9.156055450E-1,1.769509315E0,3.545071483E-1,2.023653145E0
1.128159041E0,-2.384501696E-1,1.486032486E0,1.308072805E-1,1.510715585E0
1.145090185E0,3.445441723E-1,2.555108070E0,7.086306810E-2,2.579207148E0
1.229765408E0,2.157594681E0,-6.770868301E-1,5.871915817E-2,2.262102854E0
1.246703592E0,6.366312504E-1,6.623077393E-1,1.772870541E0,1.996752575E0
1.263636890E0,-7.038375139E-1,1.101045609E0,2.290311575E0,2.636895104E0
1.280589273E0,-1.016229630E0,4.633436203E-1,5.053367615E0,5.175319722E0
1.297494252E0,-5.427983999E-1,1.622021198E0,4.968369007E-1,1.781131600E0
1.314440857E0,-5.499807596E-1,2.431963921E0,-3.789904118E-1,2.522015281E0
1.331378845E0,-6.986186504E-1,2.396836758E0,-2.155091763E0,3.298077465E0
